ONCE;322
IN;334
THE;209
WINTERTIME;-
WHEN;231
SNOW;597
WAS;264
VERY;243
DEEP;498
A;217
POOR;447
BOY;618
HAD;296
TO;220
GO;364
OUT;330
AND;226
FETCH;-
WOOD;577
ON;268
SLED;-
AFTER;217
HE;452
GATHERED;-
IT;265
TOGETHER;426
LOADED;-
DID;329
NOT;253
WANT;361
STRAIGHT;453
HOME;599
BECAUSE;244
SO;227
FROZEN;-
BUT;206
INSTEAD;-
MAKE;322
FIRE;634
WARM;441
HIMSELF;317
LITTLE;502
FIRST;388
SCRAPED;-
AWAY;272
WHILE;302
THUS;267
CLEARING;-
GROUND;513
FOUND;-
SMALL;447
GOLDEN;562
KEY;618
NOW;276
BELIEVED;-
THAT;225
WHERE;255
THERE;283
MUST;247
ALSO;264
BE;274
LOCK;532
DUG;-
IRON;561
CHEST;556
IF;228
ONLY;255
FITS;-
THOUGHT;348
CERTAINLY;-
ARE;262
VALUABLE;422
THINGS;-
LOOKED;-
NO;361
KEYHOLE;-
FINALLY;-
ONE;432
COULD;210
SCARCELY;-
SEEN;351
TRIED;303
FORTUNATELY;-
FITTED;-
THEN;204
TURNED;-
WE;389
WAIT;357
UNTIL;-
HAS;271
FINISHED;361
LICKING;-
OPENED;-
LID;-
SHALL;237
FIND;370
WHAT;249
KIND;383
OF;217
WONDERFUL;404
WERE;243
